player,age,dob,height_cm,club,rating
Raphael Silva,27,20/04/1992,190,Al Faisaly,67
M. Pavelic,25,19/09/1993,180,Sarpsborg 08 FF,67
D. Mendoza,26,30/09/1992,186,Club Atlético Huracán,67
A. Al Sulayhim,25,15/05/1994,171,Al Shabab,67
E. Arango,25,18/01/1994,170,Alianza Petrolera,67
J. Kayembe,24,08/08/1994,182,FC Nantes,67
Pablo Pérez,25,02/08/1993,188,Real Sporting de Gijón,67
J. Salas,25,20/08/1993,182,Cruz Azul,67
A. Ba,25,08/02/1994,203,AJ Auxerre,67
M. Dittgen,24,03/03/1995,182,SV Wehen Wiesbaden,67
A. Arregui,26,12/08/1992,176,Independiente Medellín,67
F. Alashe,25,21/10/1993,183,FC Cincinnati,67
M. Polster,26,08/06/1993,183,Rangers FC,67
R. Mazáň,25,09/02/1994,180,CD Tenerife,67
A. Kanté,24,11/08/1994,184,KSV Cercle Brugge,67
B. Niňaj,25,17/05/1994,191,Fortuna Sittard,67
C. Tabó,25,23/11/1993,174,Puebla FC,67
V. Rodić,25,07/09/1993,176,Hammarby IF,67
S. Rapp,26,01/10/1992,193,FC Thun,67
M. Pučko,25,06/10/1993,176,Korona Kielce,67
R. Harakawa,25,18/08/1993,175,Sagan Tosu,67
A. Fukumori,26,16/12/1992,183,Hokkaido Consadole Sapporo,67
N. Solís,25,22/04/1994,170,Club Atlético Aldosivi,67
V. Ramis,24,07/07/1994,181,Argentinos Juniors,67
J. Aja,26,10/05/1993,193,Unión Española,67
M. Cabit,26,03/06/1993,180,FC Metz,67
J. Noy,26,03/12/1992,177,FC Juárez,67
M. Saadane,27,17/01/1992,187,Al Fateh,67
S. Richey,27,30/05/1992,188,FC Cincinnati,67
F. Rogic,26,14/06/1993,180,Örebro SK,67
D. Schmidt,27,03/02/1992,196,Sint-Truidense VV,67
B. De Alba,26,26/01/1993,168,La Equidad,67
T. Schwede,25,17/03/1994,181,SC Paderborn 07,67
H. Akbunar,25,09/11/1993,167,Göztepe SK,67
F. Bechtholdt,25,15/08/1993,178,Curicó Unido,67
S. Ngom,26,07/03/1993,181,FC Nantes,67
T. Hájek,27,01/12/1991,187,Vitesse,67
Luis Mago,24,15/09/1994,184,CD Palestino,67
P. Álvarez,25,24/01/1994,180,Peru,67
F. Makaringe,26,13/05/1993,179,Orlando Pirates,67
Carlos Bravo,26,14/01/1993,175,SD Ponferradina,67
M. Rosafio,25,19/03/1994,178,Cittadella,67
Z. Naidji,24,19/01/1995,178,Gil Vicente FC,67
Rubén Lobato,25,09/03/1994,180,SD Eibar,67
S. Wangberg,28,06/05/1991,188,Tromsø IL,67
D. Gissi,28,27/04/1991,193,Atlético Tucumán,67
P. Downing,27,26/10/1991,188,Portsmouth,67
T. Coremans,28,10/04/1991,186,Sparta Rotterdam,67
J. Shaughnessy,26,06/07/1992,183,Southend United,67
N. Larsen,28,09/03/1991,190,FC Nordsjælland,67
J. Lowe,27,02/09/1991,176,Bolton Wanderers,67
J. Clarke-Harris,24,21/07/1994,183,Bristol Rovers,67
P. McEleney,26,26/09/1992,180,Dundalk,67
N. Dussenne,27,07/04/1992,191,Standard de Liège,67
R. Teibert,26,22/12/1992,173,Vancouver Whitecaps FC,67
J. Jønsson,26,10/01/1993,182,Atiker Konyaspor,67
G. Hall,27,29/10/1991,191,Queens Park Rangers,67
K. Vollmann,25,27/10/1993,174,FC Hansa Rostock,67
Cristiano,28,29/11/1990,191,FC Hermannstadt,67
M. Ihiekwe,26,20/11/1992,186,Rotherham United,67
M. Rutten,26,28/04/1993,177,Crotone,67
P. Hofmann,26,30/03/1993,195,Karlsruher SC,67
A. Youga,26,08/12/1992,186,Le Havre AC,67
H. Sacko,25,24/03/1994,183,Denizlispor,67
F. Tardieu,27,22/04/1992,184,ESTAC Troyes,67
Y. Musavu-King,27,08/01/1992,186,Le Mans FC,67
D. Gallagher,28,13/02/1991,196,Motherwell,67
Renato,26,21/09/1992,185,Shimizu S-Pulse,67
B. Godeau,27,10/05/1992,190,Royal Excel Mouscron,67
K. Kamiński,28,26/11/1990,191,Júbilo Iwata,67
T. Ebner,27,22/02/1992,180,FK Austria Wien,67
G. Güvenç,27,25/07/1991,187,Gazişehir Gaziantep F.K.,67
S. Rincón,25,14/01/1994,185,Club Atlético Aldosivi,67
F. Forte,26,01/05/1993,187,Waasland-Beveren,67
V. Soto,29,12/11/1989,191,Deportes Tolima,67
E. Boateng,25,17/01/1994,167,DC United,67
P. Sotiriou,26,13/01/1993,186,FC København,67
A. Castro,25,08/03/1994,170,Deportes Tolima,67
M. Engels,25,22/10/1993,183,SV Sandhausen,67
M. Rayhi,25,01/07/1994,178,Sparta Rotterdam,67
N. Besler,26,07/05/1993,185,Real Salt Lake,67
D. Melnjak,26,31/10/1992,179,Çaykur Rizespor,67
P. Eze,26,22/12/1992,186,Atiker Konyaspor,67
B. Smeets,26,22/11/1992,184,Sparta Rotterdam,67
A. Desmas,25,07/04/1994,197,Rodez Aveyron Football,67
R. Yamanaka,26,20/04/1993,171,Urawa Red Diamonds,67
S. Camara,26,14/11/1992,190,Le Havre AC,67
A. Mehremić,27,26/04/1992,189,CD Aves,67
Renê Santos,27,21/04/1992,184,Clube Sport Marítimo,67
O. Thioune,25,16/11/1993,180,FC Sochaux-Montbéliard,67
J. Nation,29,01/07/1990,188,Vålerenga Fotball,67
M. Dreyer,30,20/03/1989,188,Amiens SC,67
L. De Bock,26,07/11/1992,179,Leeds United,67
M. Smith,27,17/10/1991,194,Rotherham United,67
T. Aldred,28,11/09/1990,188,Brisbane Roar,67
R. Pillot,28,27/07/1990,187,La Berrichonne de Châteauroux,67
G. Nauber,27,13/04/1992,186,SV Sandhausen,67
C. Shields,28,27/12/1990,186,Dundalk,67
T. Børven,27,03/12/1991,185,Odds BK,67
M. Delač,26,20/08/1992,190,AC Horsens,67
J. Zoua,27,06/09/1991,186,Cameroon,67
S. Pettinari,27,27/01/1992,185,Lecce,67
R. Aya,28,02/08/1990,184,Pisa,67
J. Cools,28,16/10/1990,189,KAS Eupen,67
S. Gallucci,28,08/03/1991,180,Central Córdoba,67
T. Leugers,28,09/01/1991,184,SV Meppen,67
N. Marsman,28,01/10/1990,188,Feyenoord,67
M. Deplagne,27,01/10/1991,183,FC Cincinnati,67
R. Laursen,27,14/04/1992,182,Odense Boldklub,67
J. Flanagan,26,01/01/1993,181,Rangers FC,67
E. Zavaleta,26,02/08/1992,185,Toronto FC,67
K. Løkberg,27,22/01/1992,174,Viking FK,67
Leandro,26,12/05/1993,177,Kashima Antlers,67
P. Steinhart,26,07/07/1992,182,TSV 1860 München,67
I. Lanni,29,30/06/1990,186,Ascoli,67
G. Edwards,26,01/03/1993,175,Ipswich Town,67
A. Lazaar,27,22/01/1992,184,Newcastle United,67
Juan Cruz,26,28/07/1992,180,Elche CF,67
C. Ramírez,26,05/06/1993,170,Monarcas Morelia,67
D. Fällman,29,04/02/1990,187,Hammarby IF,67
T. Pettersson,29,25/03/1990,190,Östersunds FK,67
F. Al Qarni,27,02/04/1992,184,Al Ittihad,67
P. van Ooijen,27,16/02/1992,180,VVV-Venlo,67
M. Boyle,26,25/04/1993,178,Hibernian,67
M. Endres,28,22/02/1991,189,SpVgg Unterhaching,67
U. Taffertshofer,27,14/02/1992,183,VfL Osnabrück,67
R. Vanegas,26,12/03/1993,176,Deportivo Pasto,67
M. Catalán,26,19/08/1992,180,Atlético de San Luis,67
Y. Boé-Kane,28,05/04/1991,185,Le Mans FC,67
C. Washington,27,18/05/1992,178,Heart of Midlothian,67
S. Gbohouo,30,29/10/1988,190,Côte d'Ivoire,67
D. Torres,26,31/07/1992,175,Audax Italiano,67
Sebas Coris,26,31/05/1993,182,Girona FC,67
Song Seung Min,27,11/01/1992,187,Sangju Sangmu FC,67
B. Sweat,27,04/09/1991,188,New York City FC,67
J. Pereira,26,08/02/1993,182,Unión Magdalena,67
P. Gladon,27,18/03/1992,188,Willem II,67
T. Bingöl,26,11/01/1993,180,Alanyaspor,67
A. Rodríguez,26,13/02/1993,176,Envigado FC,67
M. Ajani,25,04/10/1993,188,SV Wehen Wiesbaden,67
Luís Machado,26,04/11/1992,168,Moreirense FC,67
Álvaro Traver,26,01/04/1993,181,Real Sporting de Gijón,67
M. Roman,27,31/05/1992,185,Universitatea Craiova,67
Borja Domínguez,27,30/05/1992,187,CD Lugo,67
Y. Nakano,26,24/02/1993,176,Hokkaido Consadole Sapporo,67
M. Kvesić,27,12/01/1992,175,1. FC Magdeburg,67
A. Delamea,28,10/06/1991,183,New England Revolution,67
F. Obilor,28,05/03/1991,189,HJK Helsinki,67
M. Farrona Pulido,26,01/05/1993,175,VfL Osnabrück,67
P. Zulu,26,16/09/1992,178,Kaizer Chiefs,67
F. Valot,26,12/02/1993,175,New York Red Bulls,67
M. Miers,29,24/03/1990,185,Club Atlético Aldosivi,67
M. Zeghba,28,21/11/1990,190,Al Wehda,67
S. Ishizaki,37,15/05/1982,181,IF Elfsborg,67
M. Marić,35,30/04/1984,188,FC Lugano,67
L. Camp,34,22/08/1984,183,Birmingham City,67
C. Grindheim,35,17/07/1983,179,FK Haugesund,67
M. Wölfli,36,22/08/1982,186,BSC Young Boys,67
D. Perquis,33,08/03/1986,186,Valenciennes FC,67
I. Henderson,34,24/01/1985,178,Rochdale,67
A. Durak,32,01/04/1987,181,Çaykur Rizespor,67
R. Clark,36,10/02/1983,178,Columbus Crew SC,67
J. Gjasula,33,05/12/1985,189,1. FC Magdeburg,67
B. Jones,32,24/03/1987,180,Rotherham United,67
D. Gerken,34,22/05/1985,183,Colchester United,67
J. Buxton,34,04/03/1985,180,Burton Albion,67
R. Wallace,34,23/05/1985,167,Fleetwood Town,67
F. Cubero,40,21/12/1978,175,Vélez Sarsfield,67
E. Bologna,37,13/02/1982,189,River Plate,67
F. Öztorun,32,08/05/1987,176,Atiker Konyaspor,67
S. Özkan,32,01/01/1987,172,Antalyaspor,67
Juande,32,12/08/1986,183,Perth Glory,67
David Barral,36,10/05/1983,180,Racing Santander,67
Iñaki Astiz,35,05/11/1983,184,Legia Warszawa,67
A. Cristea,35,15/05/1984,180,Politehnica Iaşi,67
D. Murphy,36,15/03/1983,191,Nottingham Forest,67
M. Halsti,35,19/03/1984,185,Esbjerg fB,67
J. Coppinger,38,10/01/1981,170,Doncaster Rovers,67
P. Netzer,33,02/10/1985,188,SCR Altach,67
J. Samuelsen,34,06/07/1984,172,Odds BK,67
Felipe Saad,35,11/09/1983,187,Paris FC,67
S. De Petter,33,22/11/1985,182,Sint-Truidense VV,67
S. McDonald,35,21/08/1983,173,Western United FC,67
R. Wood,33,05/07/1985,191,Rotherham United,67
P. Álvarez,35,17/04/1984,178,Arsenal de Sarandí,67
F. Evacuo,36,23/08/1982,187,Trapani,67
G. Munari,36,24/06/1983,190,Parma,67
G. Rodríguez,34,16/04/1985,181,Puebla FC,67
E. Hoffer,32,14/04/1987,177,FC Admira Wacker Mödling,67
Abraham González,33,16/07/1985,178,Tiburones Rojos de Veracruz,67
L. Pagliarulo,35,29/02/1984,187,Trapani,67
R. Cierzniak,36,24/04/1983,187,Legia Warszawa,67
L. Ridgewell,34,21/07/1984,188,Southend United,67
M. Jakobsen,33,02/01/1986,185,Adelaide United,67
S. Cuthbert,32,15/06/1987,188,Stevenage,67
R. Martin,33,04/01/1986,185,Milton Keynes Dons,67
Biel Ribas,33,02/12/1985,187,CF Fuenlabrada,67
J. Vaughan,30,14/07/1988,182,Bradford City,67
M. Troiano,34,07/01/1985,189,Ascoli,67
T. Tzimopoulos,33,20/11/1985,187,Korona Kielce,67
C. Maguire,30,16/01/1989,170,Sunderland,67
I. Bandalovski,32,23/11/1986,183,Bulgaria,67
J. Fojut,31,17/10/1987,188,Wisła Płock,67
M. Compper,34,14/06/1985,185,MSV Duisburg,67
F. Piovaccari,34,01/09/1984,180,Rayo Vallecano,67
J. Parr,30,21/10/1988,182,Strømsgodset IF,67
S. Schuppan,32,18/07/1986,187,FC Würzburger Kickers,67
A. Lithgow,31,12/03/1988,185,Livingston FC,67
S. Aresti,33,15/03/1986,189,Cagliari,67
R. Perticone,32,13/08/1986,184,US Salernitana 1919,67
M. Lumb,31,09/01/1988,177,AC Horsens,67
B. Pitman,31,31/01/1988,183,Portsmouth,67
R. López,32,10/05/1987,172,Tiburones Rojos de Veracruz,67
Y. Konno,36,25/01/1983,178,Júbilo Iwata,67
K. McFadzean,32,28/02/1987,185,Coventry City,67
S. Quinn,33,01/04/1986,168,Burton Albion,67
N. Eardley,30,06/11/1988,180,Lincoln City,67
S. Baldock,30,15/03/1989,170,Reading,67
L. Akins,30,25/02/1989,185,Burton Albion,67
S. Eastwood,30,26/06/1989,188,Oxford United,67
J. Mousinho,33,30/04/1986,186,Oxford United,67
D. Ferreira,39,09/08/1979,166,Unión Magdalena,67
C. Canío,38,31/05/1981,176,Coquimbo Unido,67
R. Strauß,32,07/10/1986,175,1. FC Heidenheim 1846,67
D. Furman,31,22/06/1988,183,South Africa,67
G. Roberts,35,18/03/1984,178,Wigan Athletic,67
S. Fürstner,31,11/09/1987,178,Eintracht Braunschweig,67
M. Costanzo,31,20/02/1988,179,FC St. Gallen,67
L. Scaglia,32,23/11/1986,183,Parma,67
S. Pontdemé,31,04/05/1988,186,FC Chambly Oise,67
K. Luijckx,33,11/02/1986,190,SønderjyskE,67
A. Piccolo,31,07/04/1988,175,US Cremonese,67
S. Jamieson,30,13/10/1988,177,Melbourne City FC,67
A. Nouri,29,10/01/1990,180,Vålerenga Fotball,67
J. Martínez,32,22/02/1987,177,Monarcas Morelia,67
Iriome,32,22/06/1987,185,CD Lugo,67
L. Broxham,31,13/01/1988,170,Melbourne Victory,67
N. Gerzić,35,09/11/1983,175,Örebro SK,67
P. Bengtsson,31,12/04/1988,175,FC København,67
A. Landgren,30,17/03/1989,176,Helsingborgs IF,67
F. Bellugou,32,25/04/1987,188,AJ Auxerre,67
Qin Sheng,32,02/11/1986,183,Dalian YiFang FC,67
Zheng Long,31,15/04/1988,178,Dalian YiFang FC,67
E. Knudtzon,30,15/12/1988,178,Molde FK,67
J. Jones,30,18/02/1989,191,Wigan Athletic,67
Cheng Yuelei,31,28/10/1987,188,Guangzhou R&F FC,67
K. Agard,29,10/10/1989,176,Milton Keynes Dons,67
K. Pearce,29,05/01/1990,188,Mansfield Town,67
M. Keita,28,02/09/1990,171,Strømsgodset IF,67
T. Elliott,28,09/11/1990,193,Millwall,67
S. Wüthrich,29,29/05/1990,178,Servette FC,67
K. Engel,30,27/07/1988,179,VfL Osnabrück,67
L. Königshofer,30,16/03/1989,193,KFC Uerdingen 05,67
M. de Luna,31,05/01/1988,179,Atlético de San Luis,67
J. Thomassen,31,04/05/1988,180,Sarpsborg 08 FF,67
J. Kalla,32,06/08/1986,180,FC St. Pauli,67
L. Daniels,31,05/01/1988,195,Brentford,67
C. Martin,30,04/11/1988,185,Derby County,67
D. Vega,35,03/06/1984,188,San Jose Earthquakes,67
A. Lukimya,33,25/01/1986,190,KFC Uerdingen 05,67
T. Høiland,30,11/04/1989,177,Viking FK,67
C. Evans,30,28/12/1988,183,Fleetwood Town,67
F. Monzón,32,13/04/1987,179,Atlético Tucumán,67
S. Salinas,33,24/06/1986,178,San Jose Earthquakes,67
Gu Cao,31,31/05/1988,183,Henan Jianye FC,67
I. Jiménez,29,13/08/1989,174,FC Juárez,67
Eduardo Neto,30,24/10/1988,185,Nagoya Grampus,67
G. Corral,28,18/07/1990,172,Querétaro,67
E. Kujović,31,22/06/1988,194,Djurgårdens IF,67
M. Peškovič,37,08/02/1982,188,Cracovia,67
K. Yoda,30,25/10/1988,182,Racing Santander,67
O. Kittner,31,15/10/1987,189,SC Preußen Münster,67
M. Pietrowski,31,01/03/1988,184,Piast Gliwice,67
A. Nuhiu,29,29/07/1989,197,Sheffield Wednesday,67
Sandaza,34,30/11/1984,188,AD Alcorcón,67
R. Söder,28,01/04/1991,177,IFK Göteborg,67
M. Bruscagin,29,03/08/1989,182,Venezia FC,67
Z. Ondrášek,30,22/12/1988,185,FC Dallas,67
F. Di Tacchio,29,20/04/1990,186,US Salernitana 1919,67
C. Noone,31,17/11/1987,177,Melbourne City FC,67
L. Gassama,29,20/10/1989,181,Göztepe SK,67
K. Çelikay,31,31/12/1987,194,MKE Ankaragücü,67
Hugo Fraile,32,16/03/1987,176,CF Fuenlabrada,67
M. Janota,28,29/07/1990,171,Al Fateh,67
Adaílton,28,06/12/1990,176,Júbilo Iwata,67
N. Gorobsov,29,25/11/1989,179,FC Voluntari,67
C. Pontius,31,12/12/1987,183,LA Galaxy,67
E. Castro,30,26/07/1988,185,FC Juárez,67
R. Lundström,29,01/11/1989,182,AIK,67
S. Kurata,30,26/11/1988,172,Gamba Osaka,67
T. Taguchi,28,16/03/1991,176,Júbilo Iwata,67
H. Muath,33,27/01/1986,180,Al Shabab,67
A. Al Khaibari,33,13/03/1986,177,Al Shabab,67
H. Milić,30,10/05/1989,183,Crotone,67
E. Friberg,33,10/02/1986,179,BK Häcken,67
M. Jurman,29,08/12/1989,191,Al Ittihad,67
V. Lundberg,28,04/03/1991,187,BK Häcken,67
A. Taugourdeau,30,03/06/1989,182,Trapani,67
M. Davidson,31,07/03/1988,183,St. Johnstone FC,67
S. Ferguson,27,12/07/1991,175,Millwall,67
N. Thompson,28,09/11/1990,172,Peterborough United,67
G. Merebashvili,32,15/08/1986,179,Wisła Płock,67
P. Schönfeld,30,21/06/1989,186,SV Wehen Wiesbaden,67
B. Shuttleworth,32,13/05/1987,188,Minnesota United FC,67
T. Schrammel,31,05/09/1987,176,SK Sturm Graz,67
S. Mielitz,29,18/07/1989,188,SønderjyskE,67
Romário,33,10/08/1985,173,Kalmar FF,67
F. Berenguer,30,01/04/1989,182,Melbourne City FC,67
P. Souaré,29,06/06/1990,178,ESTAC Troyes,67
Zequinha,32,07/01/1987,183,Vitória de Setúbal,67
T. Deric,30,30/08/1988,191,Houston Dynamo,67
C. Groß,30,08/02/1989,183,SV Werder Bremen,67
Bruno Monteiro,34,05/10/1984,180,CD Tondela,67
B. Kee,28,01/12/1990,175,Accrington Stanley,67
A. Soiledis,28,08/02/1991,181,FCSB (Steaua),67
M. Grün,32,05/04/1987,190,Borussia Mönchengladbach,67
Airam,31,21/10/1987,180,Extremadura UD,67
D. Lévêque,29,22/11/1989,182,Le Mans FC,67
A. Uludağ,28,11/12/1990,180,Atiker Konyaspor,67
S. Moore,29,19/05/1990,191,Sheffield United,67
J. Tinhan,30,01/06/1989,178,Grenoble Foot 38,67
R. Grange,30,21/07/1988,177,La Berrichonne de Châteauroux,67
K. Kanak,28,06/10/1990,173,Alanyaspor,67
S. Winnall,28,19/01/1991,175,Sheffield Wednesday,67
A. Mathlouthi,34,14/09/1984,182,Al Adalah,67
H. Martínez,32,04/01/1987,178,CD Universidad de Concepción,67
B. García,34,04/09/1984,175,Houston Dynamo,67
A. Bassoli,29,19/06/1990,185,Pordenone,67
L. Vilsvik,30,18/10/1988,180,Strømsgodset IF,67
Y. Al Mosailem,35,27/02/1984,184,Al Ahli,67
A. Straith,28,11/09/1990,188,FC Hansa Rostock,67
E. O'Kane,28,10/07/1990,173,Leeds United,67
J. Lacerda,32,07/02/1987,189,FC Juárez,67
S. Makienok,28,21/11/1990,201,FC Utrecht,67
M. van der Maarel,29,12/08/1989,177,FC Utrecht,67
L. Marín,27,22/01/1992,183,Patronato,67
A. Calisir,29,13/06/1990,180,IFK Göteborg,67
I. Franjić,31,10/09/1987,180,Perth Glory,67
L. Palmer,27,19/09/1991,183,Sheffield Wednesday,67
S. Ciss,30,15/06/1989,175,Angers SCO,67
R. Bocalon,30,03/03/1989,186,Venezia FC,67
M. Jonckheere,29,03/01/1990,177,KV Oostende,67
E. Borelli,28,26/11/1990,164,FC Juárez,67
R. Holmes,32,19/06/1987,172,Sheffield United,67
C. Deac,33,16/02/1986,177,CFR Cluj,67
J. Lauridsen,28,27/03/1991,180,Esbjerg fB,67
L. Gikiewicz,31,26/10/1987,189,FCSB (Steaua),67
M. te Vrede,27,07/08/1991,193,Al Fateh,67
M. Makuszewski,29,29/09/1989,176,Lech Poznań,67
V. Eicher,28,05/11/1990,191,1. FC Heidenheim 1846,67
Nam Joon Jae,31,07/04/1988,183,Jeju United FC,67
R. Smallwood,28,29/12/1990,180,Blackburn Rovers,67
J. Morris,27,30/09/1991,182,Fleetwood Town,67
A. Crawford,27,30/07/1991,179,Doncaster Rovers,67
S. Schipplock,30,08/11/1988,186,DSC Arminia Bielefeld,67
N. Dumitru,27,12/10/1991,184,Gaz Metan Mediaş,67
N. Helenius,28,08/05/1991,196,Aarhus GF,67
A. Iacobucci,28,03/06/1991,187,Frosinone,67
Pardo,31,21/04/1988,187,Extremadura UD,67
S. D'Elia,30,10/02/1989,183,Ascoli,67
J. Attinella,30,29/09/1988,188,Portland Timbers,67
L. Arias,34,13/01/1985,168,Unión Magdalena,67
M. Boxall,30,18/08/1988,188,Minnesota United FC,67
H. Jimenez,30,03/11/1988,175,Columbus Crew SC,67
Hernán,28,26/08/1990,181,Real Sporting de Gijón,67
C. Râpă,29,16/01/1990,180,Cracovia,67
Park Jin Po,31,13/08/1987,173,Jeju United FC,67
Sin Se Gye,28,16/09/1990,178,Suwon Samsung Bluewings,67
Noguera,29,24/09/1989,175,CD Numancia,67
Héctor,28,23/05/1991,171,CD Numancia,67
B. Halloran,27,14/06/1992,184,Adelaide United,67
A. Tighadouini,26,30/10/1992,179,Málaga CF,67
M. Fetsch,30,30/09/1988,189,Hallescher FC,67
L. Bangoura,27,30/03/1992,175,Vancouver Whitecaps FC,67
J. Skalák,27,12/03/1992,177,Millwall,67
Gerard Badía,29,18/10/1989,175,Piast Gliwice,67
A. Montalto,31,06/04/1988,186,US Cremonese,67
Xavi Molina,32,19/07/1986,182,KAS Eupen,67
Cerrajería,30,05/04/1989,185,CD Mirandés,67
S. Elbers,27,14/05/1992,172,PEC Zwolle,67
Y. Toutouh,26,06/10/1992,189,Aarhus GF,67
W. Kamavuaka,29,29/03/1990,188,SV Darmstadt 98,67
M. Pušić,31,24/10/1987,187,SV Mattersburg,67
Tekio,28,30/07/1990,175,Elche CF,67
E. Bush,33,06/03/1986,186,Montreal Impact,67
L. Silva,30,10/12/1988,182,Seattle Sounders FC,67
N. DeLeon,28,17/07/1990,178,Toronto FC,67
S. Thesker,28,11/04/1991,190,Holstein Kiel,67
M. Lieder,29,01/05/1990,188,SønderjyskE,67
M. Saeid,28,24/12/1990,170,IK Sirius,67
Choi Sung Geun,27,28/07/1991,181,Suwon Samsung Bluewings,67
F. Brillant,34,26/06/1985,187,DC United,67
H. Bahebri,26,16/07/1992,171,Al Hilal,67
Samuel,28,25/02/1991,185,Jeonbuk Hyundai Motors,67
R. Thelander,27,09/07/1991,190,Vitesse,67
A. Al Mayoof,32,23/01/1987,189,Al Hilal,67
M. Al Harbi,31,19/10/1987,175,Al Ittihad,67
M. Jahfali,28,24/10/1990,185,Al Hilal,67
M. Asiri,32,14/10/1986,186,Al Ahli,67
P. Paye,29,31/05/1990,169,FC Sochaux-Montbéliard,67
M. Dos Santos,29,07/07/1989,182,CD Tenerife,67
L. Gallegos,27,03/12/1991,173,Club Necaxa,67
Cassiano,30,16/06/1989,184,Boavista FC,67
M. Starke,28,21/02/1991,179,1. FC Kaiserslautern,67
D. Nazarov,29,04/04/1990,184,FC Erzgebirge Aue,67
M. Welzmüller,29,10/01/1990,177,Bayern München II,67
M. Thiel,26,03/02/1993,187,1. FC Heidenheim 1846,67
S. Lex,29,27/11/1989,178,TSV 1860 München,67
A. Jovanović,29,04/08/1989,196,Jeju United FC,67
J. Ring,27,05/12/1991,182,Djurgårdens IF,67
D. Vallejos,29,16/03/1990,173,Curicó Unido,67
Welinton Júnior,26,08/06/1993,175,CD Aves,67
V. Giraldo,33,30/09/1985,177,Deportivo Pasto,67
E. Farias,30,01/01/1989,179,CD Cobresal,67
Alcatraz,32,27/01/1987,180,Rionegro Águilas,67
C. Arias,31,02/04/1988,175,Alianza Petrolera,67
F. Rodríguez,32,24/06/1987,186,Rionegro Águilas,67
L. Ruiz,32,08/01/1987,187,Junior FC,67
A. Acevedo,36,06/05/1983,176,CD O'Higgins,67
J. Aguirre,32,18/06/1987,169,Atlético Bucaramanga,67
A. Barrios,28,01/01/1991,183,Universidad de Chile,67
S. Jaime,32,30/01/1987,179,Curicó Unido,67
M. Donoso,32,08/07/1986,186,Deportes Iquique,67
F. Godoy,29,01/05/1990,174,Club Atlético Talleres,67
G. Voboril,32,05/05/1987,177,CD Universidad de Concepción,67
C. Díaz,30,26/05/1989,167,Central Córdoba,67
R. Naranjo,39,30/08/1979,192,Deportes Iquique,67
M. Zenteno,35,21/04/1984,173,Deportes Iquique,67
A. Vlad,29,06/12/1989,174,FC Voluntari,67
D. Díaz,33,12/06/1986,179,Curicó Unido,67
A. Imperiale,32,08/07/1986,185,Deportes Iquique,67
H. Berríos,32,18/10/1986,174,Deportes Iquique,67
K. Azamoum,29,17/01/1990,178,Albacete BP,67
F. Kaufmann,26,08/09/1992,181,FC Würzburger Kickers,67
J. Kauko,28,12/07/1990,188,Esbjerg fB,67
M. Sušić,28,18/11/1990,181,CFR Cluj,67
R. Rodriguez,28,28/07/1990,180,KFC Uerdingen 05,67
A. Sušac,30,20/05/1989,185,VfL Osnabrück,67
D. Bejarano,27,24/08/1991,174,Bolivia,67
Sandro Lima,28,28/10/1990,186,Gil Vicente FC,67
A. Doukha,32,05/08/1986,186,Al Raed,67
J. Gómez,28,11/05/1991,182,Unión Española,67
F. Ben Youssef,28,23/06/1991,190,Ettifaq FC,67
Avto,27,03/10/1991,176,FC Voluntari,67
M. Azira,31,22/08/1987,178,Chicago Fire,67
W. Francis,28,20/09/1990,175,Columbus Crew SC,67
C. Ramírez,31,01/05/1988,183,Rionegro Águilas,67
A. Vargas,30,27/12/1988,170,La Equidad,67
S. Nilsen,27,02/10/1991,184,IF Elfsborg,67
D. Lovitz,27,27/08/1991,178,Montreal Impact,67
Piao Cheng,29,21/08/1989,176,Beijing Sinobo Guoan FC,67
M. Mirahmetjan,28,14/01/1991,182,Tianjin TEDA FC,67
Jin Jingdao,27,18/01/1992,169,Shandong Luneng TaiShan FC,67
K. Fisker,31,22/05/1988,170,Brøndby IF,67
T. Hamed,30,24/10/1988,169,Egypt,67
Bai Jiajun,28,20/03/1991,166,Shanghai Greenland Shenhua FC,67
J. Hergault,33,05/04/1986,185,FC Lorient,67
I. Depe,26,10/09/1992,172,Kasimpaşa SK,67
G. Stewart,29,17/03/1990,178,Rangers FC,67
O. Salinas,31,26/06/1988,169,Deportes Iquique,67
J. Huentelaf,30,22/01/1989,177,CD Universidad de Concepción,67
C. Psyché,30,28/07/1988,186,Kristiansund BK,67
S. Aškovski,27,24/02/1992,179,FC Botoşani,67
G. Gutiérrez,29,16/01/1990,170,Junior FC,67
M. Šitum,27,04/04/1992,177,Dinamo Zagreb,67
Lu Wenjun,30,11/03/1989,185,Shanghai SIPG FC,67
V. Achim,30,07/04/1989,182,FC Viitorul,67
S. Živec,28,02/04/1991,170,Zagłębie Lubin,67
E. Käck,29,18/09/1989,173,Djurgårdens IF,67
G. Ávalos,28,12/10/1990,187,Patronato,67
R. Noya,29,31/01/1990,194,Club Necaxa,67
M. Escudero,30,15/12/1988,176,Patronato,67
D. Gómez,31,25/03/1988,173,Once Caldas,67
Oh Seung Hoon,31,30/06/1988,192,Jeju United FC,67
D. Cardoso,30,06/10/1988,184,Kaizer Chiefs,67
M. Alphonse,29,12/07/1989,182,Dijon FCO,67
S. Aytaç,27,24/11/1991,187,Kayserispor,67
L. Memela,31,18/09/1987,167,Orlando Pirates,67
Campillo,28,16/12/1990,176,CD Lugo,67
